|-------------------|-------------------|-------------------|-------------------|-------------------|
|      监控时间      |      CPU使用率     |     内存使用率      |      硬盘使用率     |     网络使用率      |
|                   |      (共4核)       |      (共计3G内存)  |     （共19内存）    |                    |
|-------------------|-------------------|-------------------|-------------------|--------------------|
|2022-03-15 15:06:02|        0.8%       |         65.7%     |        51.3%      |  收：11MB;发：103kB |
|-------------------|-------------------|-------------------|-------------------|--------------------|


|-------------------|-------------------|-------------------|-------------------|-------------------|
|      监控时间      |      CPU使用率     |     内存使用率      |      硬盘使用率     |     网络使用率      |
|                   |      (共4核)       |      (共计3G内存)  |     （共19内存）    |                    |
|-------------------|-------------------|-------------------|-------------------|--------------------|
|2022-03-15 15:06:07|        0.3%       |         65.7%     |        51.3%      |  收：11MB;发：103kB |
|-------------------|-------------------|-------------------|-------------------|--------------------|


|-------------------|-------------------|-------------------|-------------------|-------------------|
|      监控时间      |      CPU使用率     |     内存使用率      |      硬盘使用率     |     网络使用率      |
|                   |      (共4核)       |      (共计3G内存)  |     （共19内存）    |                    |
|-------------------|-------------------|-------------------|-------------------|--------------------|
|2022-03-15 15:06:12|        0.1%       |         65.7%     |        51.3%      |  收：11MB;发：103kB |
|-------------------|-------------------|-------------------|-------------------|--------------------|


